test_id,scenario,notes,run_mode,elapsed_ms,attempt,command_samples,command_successes,command_failures,command_latency_ms_avg,command_latency_ms_min,command_latency_ms_max,last_command_latency_ms,last_command_elapsed_ms,last_command_age_ms,command_attempt_count,command_retry_count,command_timeout_count,command_client_total_ms,command_ensure_sdk_ms,command_executor_total_ms,command_send_ms,command_recv_wait_ms,command_parse_ms,command_executor_recv_wait_total_ms,command_executor_internal_total_ms,command_recovery_ms,command_executor_calls,command_recovery_count,last_command,last_response,last_command_result,command_source,command_executor_last_error,command_executor_attempt_log,command_internal_attempt_log,telemetry_packets_total,telemetry_packets_valid,telemetry_packets_invalid,telemetry_timeouts,telemetry_errors,telemetry_hz_instant,telemetry_hz_ema,telemetry_age_ms,telemetry_interarrival_ms,telemetry_max_interarrival_ms,telemetry_last_gap_ms,telemetry_last_gap_sequence,telemetry_gap_events_300ms,telemetry_gap_events_500ms,telemetry_gap_events_1000ms,telemetry_quality,telemetry_quality_score,telemetry_state_available,telemetry_h,telemetry_tof,telemetry_baro,telemetry_vgz,telemetry_bat,telemetry_templ,telemetry_temph,video_packets_total,video_bytes_total,video_timeouts,video_errors,video_pps_instant,video_pps_ema,video_age_ms,video_packet_delta,video_interarrival_ms,video_max_interarrival_ms,video_last_gap_ms,video_last_gap_sequence,video_gap_events_300ms,video_gap_events_500ms,video_gap_events_1000ms,video_quality,video_quality_score,link_quality,link_quality_score,link_safe_for_nonzero_rc,link_quality_reason,link_telemetry_quality,link_video_quality,link_command_quality,link_rc_quality,rc_packet_gap_ms,rc_expected_period_ms,rc_blackout_count,rc_last_nonzero_age_ms,rc_safety_override_active,decoder_frames_decoded,decoder_errors,decoder_fps_ema,frame_width,frame_height,keyframes,paused,overlay_enabled,recovery_attempted,recovery_result,recovery_hard,recovery_stage,recovery_command_channel_available,event,log_timestamp,log_message,connection_state,last_outage_failures,plot_metric,state_sequence_delta,state_receiver_running,rc_stream_active,rc_left_right,rc_forward_back,rc_up_down,rc_yaw,keepalive_running,auto_refresh_active,critical_command_active,pause_keepalive_ms,neutral_rc_ms,critical_command_ms,gui_vision_tick_delay_ms,gui_state_tick_delay_ms,vision_refresh_duration_ms,state_refresh_duration_ms,frame_convert_ms,frame_scale_ms,plot_paint_ms,vision_frame_mutex_wait_ms,state_history_fetch_ms,command_mutex_wait_ms,ui_frames_converted,ui_frames_dropped,ui_frames_displayed,plot_samples_displayed,keepalive_tick_total,keepalive_success_total,keepalive_failure_total,keepalive_skipped_busy_total,keepalive_skipped_uninitialized_total,keepalive_last_command,keepalive_last_response,keepalive_last_result,keepalive_last_latency_ms,keepalive_last_success_age_ms,keepalive_last_tick_age_ms
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,73520,73,73,73,0,19.9726,16,73,16,73520,0,1,0,0,16,0,16,0,16,0,16,16,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=16|timing_total_ms=16|recv_wait_ms=16|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,74539,74,74,74,0,19.9595,16,73,19,74539,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,75558,75,75,75,0,19.9467,16,73,19,75558,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,76579,76,76,76,0,19.9474,16,73,20,76579,0,1,0,0,20,0,20,0,20,0,20,20,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=20|timing_total_ms=20|recv_wait_ms=20|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,77600,77,77,77,0,19.9351,16,73,19,77600,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,78619,78,78,78,0,19.9231,16,73,19,78619,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,79640,79,79,79,0,19.9241,16,73,20,79640,0,1,0,0,20,0,20,0,20,0,20,20,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=20|timing_total_ms=20|recv_wait_ms=20|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,80660,80,80,80,0,19.9125,16,73,19,80660,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,81680,81,81,81,0,19.9012,16,73,19,81680,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,82701,82,82,82,0,19.9024,16,73,20,82701,0,1,0,0,20,0,20,0,20,0,20,20,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=20|timing_total_ms=20|recv_wait_ms=20|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,83722,83,83,83,0,19.9157,16,73,21,83722,0,1,0,0,21,0,21,0,20,0,20,21,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=21|timing_total_ms=21|recv_wait_ms=20|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,84742,84,84,84,0,19.9048,16,73,19,84742,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,85762,85,85,85,0,19.9059,16,73,20,85762,0,1,0,0,20,0,20,0,19,0,19,20,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=20|timing_total_ms=20|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,86782,86,86,86,0,19.8953,16,73,19,86782,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,87802,87,87,87,0,19.8851,16,73,19,87802,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,88822,88,88,88,0,19.875,16,73,19,88822,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,89842,89,89,89,0,19.8764,16,73,20,89842,0,1,0,0,20,0,20,0,20,0,20,20,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=20|timing_total_ms=20|recv_wait_ms=20|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,90862,90,90,90,0,19.8667,16,73,19,90862,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,91882,91,91,91,0,19.8571,16,73,19,91882,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,92902,92,92,92,0,19.8478,16,73,19,92902,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,93922,93,93,93,0,19.8387,16,73,19,93922,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,94941,94,94,94,0,19.8298,16,73,19,94941,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,95962,95,95,95,0,19.8211,16,73,19,95962,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,96982,96,96,96,0,19.8229,16,73,20,96982,0,1,0,0,20,0,20,0,20,0,20,20,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=20|timing_total_ms=20|recv_wait_ms=20|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
E2-CMD-BASE-NATIVE-R03,command-baseline-native-linux,native Linux; no pcap; independent repetition 3 of 3,WATCH,98002,97,97,97,0,19.8144,16,73,19,98002,0,1,0,0,19,0,19,0,19,0,19,19,0,1,0,battery?,81,OK,cli-watch,,attempt=1|send=OK|raw=81|parsed=OK,executor_call=1|command=battery?|result=OK|response=81|elapsed_ms=19|timing_total_ms=19|recv_wait_ms=19|attempt_log=[attempt=1|send=OK|raw=81|parsed=OK],0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,NO_DATA,0,OK,100,0,command=OK,NO_DATA,NO_DATA,OK,NO_DATA,-1,50,0,-1,0,0,0,0,0,0,0,0,0,0,OK,0,,0,NONE,,,CONNECTED,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,ERROR,0,-1,-1
